date,김건희,김정숙,김혜경,isPartial,channel
2023-06-04,24,0,0,False,web
2023-06-11,26,3,0,False,web
2023-06-18,35,0,7,False,web
2023-06-25,28,0,0,False,web
2023-07-02,51,4,0,False,web
2023-07-09,72,5,0,False,web
2023-07-16,79,6,0,False,web
2023-07-23,36,0,0,False,web
2023-07-30,34,0,3,False,web
2023-08-06,26,3,3,False,web
2023-08-13,43,2,0,False,web
2023-08-20,28,0,4,False,web
2023-08-27,35,0,2,False,web
2023-09-03,30,0,0,False,web
2023-09-10,33,0,4,False,web
2023-09-17,23,0,7,False,web
2023-09-24,31,0,0,False,web
2023-10-01,23,0,4,False,web
2023-10-08,24,0,3,False,web
2023-10-15,27,0,7,False,web
2023-10-22,35,0,0,False,web
2023-10-29,30,0,0,False,web
2023-11-05,31,0,0,False,web
2023-11-12,30,4,0,False,web
2023-11-19,38,0,0,False,web
2023-11-26,65,3,0,False,web
2023-12-03,45,2,3,False,web
2023-12-10,60,0,0,False,web
2023-12-17,45,3,0,False,web
2023-12-24,85,6,0,False,web
2023-12-31,54,5,0,False,web
2024-01-07,51,5,3,False,web
2024-01-14,56,3,0,False,web
2024-01-21,100,6,2,False,web
2024-01-28,48,0,0,False,web
2024-02-04,59,6,4,False,web
2024-02-11,31,3,9,False,web
2024-02-18,27,0,0,False,web
2024-02-25,37,0,11,False,web
2024-03-03,27,0,12,False,web
2024-03-10,18,3,0,False,web
2024-03-17,21,0,0,False,web
2024-03-24,22,0,3,False,web
2024-03-31,32,0,4,False,web
2024-04-07,68,0,4,False,web
2024-04-14,46,0,3,False,web
2024-04-21,37,0,4,False,web
2024-04-28,25,3,0,False,web
2024-05-05,43,5,4,False,web
2024-05-12,50,4,0,False,web
2024-05-19,43,11,0,False,web
2024-05-26,26,7,2,False,web
2024-06-02,41,20,2,False,web
2024-06-09,25,9,1,True,web
2023-06-04,21,1,0,False,youtube
2023-06-11,22,1,1,False,youtube
2023-06-18,27,1,1,False,youtube
2023-06-25,20,2,0,False,youtube
2023-07-02,38,2,0,False,youtube
2023-07-09,52,1,0,False,youtube
2023-07-16,62,1,1,False,youtube
2023-07-23,29,1,0,False,youtube
2023-07-30,21,2,1,False,youtube
2023-08-06,18,0,1,False,youtube
2023-08-13,24,0,1,False,youtube
2023-08-20,17,0,1,False,youtube
2023-08-27,17,1,0,False,youtube
2023-09-03,16,0,1,False,youtube
2023-09-10,18,1,1,False,youtube
2023-09-17,16,1,2,False,youtube
2023-09-24,27,1,1,False,youtube
2023-10-01,19,1,1,False,youtube
2023-10-08,17,0,0,False,youtube
2023-10-15,17,0,3,False,youtube
2023-10-22,19,1,1,False,youtube
2023-10-29,14,1,0,False,youtube
2023-11-05,14,0,1,False,youtube
2023-11-12,15,0,0,False,youtube
2023-11-19,28,1,1,False,youtube
2023-11-26,100,1,0,False,youtube
2023-12-03,68,0,1,False,youtube
2023-12-10,70,0,1,False,youtube
2023-12-17,46,0,1,False,youtube
2023-12-24,72,2,0,False,youtube
2023-12-31,47,3,1,False,youtube
2024-01-07,40,10,0,False,youtube
2024-01-14,46,1,1,False,youtube
2024-01-21,86,1,1,False,youtube
2024-01-28,38,1,0,False,youtube
2024-02-04,33,1,2,False,youtube
2024-02-11,25,1,3,False,youtube
2024-02-18,20,1,1,False,youtube
2024-02-25,26,1,6,False,youtube
2024-03-03,18,1,2,False,youtube
2024-03-10,14,1,2,False,youtube
2024-03-17,14,1,1,False,youtube
2024-03-24,17,0,3,False,youtube
2024-03-31,25,1,3,False,youtube
2024-04-07,50,1,4,False,youtube
2024-04-14,43,1,2,False,youtube
2024-04-21,21,1,1,False,youtube
2024-04-28,20,1,1,False,youtube
2024-05-05,31,1,2,False,youtube
2024-05-12,30,1,1,False,youtube
2024-05-19,27,4,1,False,youtube
2024-05-26,23,3,1,False,youtube
2024-06-02,26,9,1,False,youtube
2024-06-09,16,4,0,True,youtube
2023-06-04,0,0,0,False,news
2023-06-11,0,0,0,False,news
2023-06-18,0,0,0,False,news
2023-06-25,0,0,0,False,news
2023-07-02,0,0,0,False,news
2023-07-09,0,0,0,False,news
2023-07-16,0,0,0,False,news
2023-07-23,0,0,0,False,news
2023-07-30,0,0,0,False,news
2023-08-06,0,0,0,False,news
2023-08-13,0,0,0,False,news
2023-08-20,0,0,0,False,news
2023-08-27,0,0,0,False,news
2023-09-03,0,0,0,False,news
2023-09-10,0,0,0,False,news
2023-09-17,0,0,0,False,news
2023-09-24,0,0,0,False,news
2023-10-01,0,0,0,False,news
2023-10-08,0,0,0,False,news
2023-10-15,0,0,0,False,news
2023-10-22,0,0,0,False,news
2023-10-29,0,0,0,False,news
2023-11-05,0,0,0,False,news
2023-11-12,0,0,0,False,news
2023-11-19,0,0,0,False,news
2023-11-26,0,0,0,False,news
2023-12-03,0,0,0,False,news
2023-12-10,0,0,0,False,news
2023-12-17,0,0,0,False,news
2023-12-24,0,0,0,False,news
2023-12-31,0,0,0,False,news
2024-01-07,0,0,0,False,news
2024-01-14,0,0,0,False,news
2024-01-21,0,0,0,False,news
2024-01-28,100,0,0,False,news
2024-02-04,0,0,0,False,news
2024-02-11,0,0,0,False,news
2024-02-18,0,0,0,False,news
2024-02-25,0,0,0,False,news
2024-03-03,0,0,0,False,news
2024-03-10,0,0,0,False,news
2024-03-17,0,0,0,False,news
2024-03-24,0,0,0,False,news
2024-03-31,0,0,0,False,news
2024-04-07,0,0,0,False,news
2024-04-14,0,0,0,False,news
2024-04-21,0,0,0,False,news
2024-04-28,0,0,0,False,news
2024-05-05,0,0,0,False,news
2024-05-12,0,0,0,False,news
2024-05-19,0,0,0,False,news
2024-05-26,12,0,0,False,news
2024-06-02,20,15,0,False,news
2024-06-09,0,0,0,True,news
