geoName,김건희,김정숙,김혜경,timeframe
강원도,0,0,0,2023-05-01 2023-05-31
경기도,93,7,0,2023-05-01 2023-05-31
경상남도,72,28,0,2023-05-01 2023-05-31
경상북도,100,0,0,2023-05-01 2023-05-31
광주광역시,100,0,0,2023-05-01 2023-05-31
대구광역시,100,0,0,2023-05-01 2023-05-31
대전광역시,100,0,0,2023-05-01 2023-05-31
부산광역시,100,0,0,2023-05-01 2023-05-31
서울특별시,93,7,0,2023-05-01 2023-05-31
울산광역시,100,0,0,2023-05-01 2023-05-31
인천광역시,100,0,0,2023-05-01 2023-05-31
전라남도,100,0,0,2023-05-01 2023-05-31
전라북도,100,0,0,2023-05-01 2023-05-31
제주특별자치도,0,0,0,2023-05-01 2023-05-31
충청남도,100,0,0,2023-05-01 2023-05-31
충청북도,100,0,0,2023-05-01 2023-05-31
강원도,49,51,0,2023-06-01 2023-06-30
경기도,100,0,0,2023-06-01 2023-06-30
경상남도,100,0,0,2023-06-01 2023-06-30
경상북도,100,0,0,2023-06-01 2023-06-30
광주광역시,100,0,0,2023-06-01 2023-06-30
대구광역시,100,0,0,2023-06-01 2023-06-30
대전광역시,100,0,0,2023-06-01 2023-06-30
부산광역시,100,0,0,2023-06-01 2023-06-30
서울특별시,88,7,5,2023-06-01 2023-06-30
울산광역시,0,0,0,2023-06-01 2023-06-30
인천광역시,100,0,0,2023-06-01 2023-06-30
전라남도,100,0,0,2023-06-01 2023-06-30
전라북도,100,0,0,2023-06-01 2023-06-30
제주특별자치도,0,0,0,2023-06-01 2023-06-30
충청남도,100,0,0,2023-06-01 2023-06-30
충청북도,100,0,0,2023-06-01 2023-06-30
강원도,100,0,0,2023-07-01 2023-07-31
경기도,91,5,4,2023-07-01 2023-07-31
경상남도,100,0,0,2023-07-01 2023-07-31
경상북도,100,0,0,2023-07-01 2023-07-31
광주광역시,100,0,0,2023-07-01 2023-07-31
대구광역시,100,0,0,2023-07-01 2023-07-31
대전광역시,100,0,0,2023-07-01 2023-07-31
부산광역시,100,0,0,2023-07-01 2023-07-31
서울특별시,92,5,3,2023-07-01 2023-07-31
울산광역시,100,0,0,2023-07-01 2023-07-31
인천광역시,100,0,0,2023-07-01 2023-07-31
전라남도,100,0,0,2023-07-01 2023-07-31
전라북도,100,0,0,2023-07-01 2023-07-31
제주특별자치도,0,0,0,2023-07-01 2023-07-31
충청남도,100,0,0,2023-07-01 2023-07-31
충청북도,100,0,0,2023-07-01 2023-07-31
강원도,100,0,0,2023-08-01 2023-08-31
경기도,92,8,0,2023-08-01 2023-08-31
경상남도,100,0,0,2023-08-01 2023-08-31
경상북도,100,0,0,2023-08-01 2023-08-31
광주광역시,100,0,0,2023-08-01 2023-08-31
대구광역시,100,0,0,2023-08-01 2023-08-31
대전광역시,100,0,0,2023-08-01 2023-08-31
부산광역시,100,0,0,2023-08-01 2023-08-31
서울특별시,87,6,7,2023-08-01 2023-08-31
울산광역시,0,0,0,2023-08-01 2023-08-31
인천광역시,100,0,0,2023-08-01 2023-08-31
전라남도,100,0,0,2023-08-01 2023-08-31
전라북도,100,0,0,2023-08-01 2023-08-31
제주특별자치도,0,0,0,2023-08-01 2023-08-31
충청남도,100,0,0,2023-08-01 2023-08-31
충청북도,100,0,0,2023-08-01 2023-08-31
강원도,0,0,0,2023-09-01 2023-09-30
경기도,82,10,8,2023-09-01 2023-09-30
경상남도,100,0,0,2023-09-01 2023-09-30
경상북도,100,0,0,2023-09-01 2023-09-30
광주광역시,100,0,0,2023-09-01 2023-09-30
대구광역시,100,0,0,2023-09-01 2023-09-30
대전광역시,100,0,0,2023-09-01 2023-09-30
부산광역시,100,0,0,2023-09-01 2023-09-30
서울특별시,84,6,10,2023-09-01 2023-09-30
울산광역시,0,0,0,2023-09-01 2023-09-30
인천광역시,80,0,20,2023-09-01 2023-09-30
전라남도,100,0,0,2023-09-01 2023-09-30
전라북도,100,0,0,2023-09-01 2023-09-30
제주특별자치도,0,0,0,2023-09-01 2023-09-30
충청남도,100,0,0,2023-09-01 2023-09-30
충청북도,100,0,0,2023-09-01 2023-09-30
강원도,100,0,0,2023-10-01 2023-10-31
경기도,86,0,14,2023-10-01 2023-10-31
경상남도,100,0,0,2023-10-01 2023-10-31
경상북도,55,45,0,2023-10-01 2023-10-31
광주광역시,100,0,0,2023-10-01 2023-10-31
대구광역시,100,0,0,2023-10-01 2023-10-31
대전광역시,100,0,0,2023-10-01 2023-10-31
부산광역시,100,0,0,2023-10-01 2023-10-31
서울특별시,86,6,8,2023-10-01 2023-10-31
울산광역시,0,0,0,2023-10-01 2023-10-31
인천광역시,100,0,0,2023-10-01 2023-10-31
전라남도,100,0,0,2023-10-01 2023-10-31
전라북도,100,0,0,2023-10-01 2023-10-31
제주특별자치도,0,0,0,2023-10-01 2023-10-31
