date,김건희,김정숙,김혜경,isPartial
2023-06-04,24,0,0,False
2023-06-11,26,3,0,False
2023-06-18,35,0,7,False
2023-06-25,28,0,0,False
2023-07-02,51,4,0,False
2023-07-09,72,5,0,False
2023-07-16,79,6,0,False
2023-07-23,36,0,0,False
2023-07-30,34,0,3,False
2023-08-06,26,3,3,False
2023-08-13,43,2,0,False
2023-08-20,28,0,4,False
2023-08-27,35,0,2,False
2023-09-03,30,0,0,False
2023-09-10,33,0,4,False
2023-09-17,23,0,7,False
2023-09-24,31,0,0,False
2023-10-01,23,0,4,False
2023-10-08,24,0,3,False
2023-10-15,27,0,7,False
2023-10-22,35,0,0,False
2023-10-29,30,0,0,False
2023-11-05,31,0,0,False
2023-11-12,30,4,0,False
2023-11-19,38,0,0,False
2023-11-26,65,3,0,False
2023-12-03,45,2,3,False
2023-12-10,60,0,0,False
2023-12-17,45,3,0,False
2023-12-24,85,6,0,False
2023-12-31,54,5,0,False
2024-01-07,51,5,3,False
2024-01-14,56,3,0,False
2024-01-21,100,6,2,False
2024-01-28,48,0,0,False
2024-02-04,59,6,4,False
2024-02-11,31,3,9,False
2024-02-18,27,0,0,False
2024-02-25,37,0,11,False
2024-03-03,27,0,12,False
2024-03-10,18,3,0,False
2024-03-17,21,0,0,False
2024-03-24,22,0,3,False
2024-03-31,32,0,4,False
2024-04-07,68,0,4,False
2024-04-14,46,0,3,False
2024-04-21,37,0,4,False
2024-04-28,25,3,0,False
2024-05-05,43,5,4,False
2024-05-12,50,4,0,False
2024-05-19,43,11,0,False
2024-05-26,27,7,2,False
2024-06-02,42,21,2,False
2024-06-09,25,9,1,True
