period,ratio,title,age
2023-06-05,34.83994,김건희,19∼24세
2023-06-12,28.83898,김건희,19∼24세
2023-06-19,35.05016,김건희,19∼24세
2023-06-26,27.55852,김건희,19∼24세
2023-07-03,56.61729,김건희,19∼24세
2023-07-10,69.99522,김건희,19∼24세
2023-07-17,65.17916,김건희,19∼24세
2023-07-24,35.65217,김건희,19∼24세
2023-07-31,32.39369,김건희,19∼24세
2023-08-07,32.03057,김건희,19∼24세
2023-08-14,43.48781,김건희,19∼24세
2023-08-21,29.21165,김건희,19∼24세
2023-08-28,30.63545,김건희,19∼24세
2023-09-04,24.6536,김건희,19∼24세
2023-09-11,30.61634,김건희,19∼24세
2023-09-18,24.23315,김건희,19∼24세
2023-09-25,29.67032,김건희,19∼24세
2023-10-02,21.5289,김건희,19∼24세
2023-10-09,25.39894,김건희,19∼24세
2023-10-16,38.52842,김건희,19∼24세
2023-10-23,36.36884,김건희,19∼24세
2023-10-30,21.71046,김건희,19∼24세
2023-11-06,22.73291,김건희,19∼24세
2023-11-13,25.65695,김건희,19∼24세
2023-11-20,32.98614,김건희,19∼24세
2023-11-27,51.21834,김건희,19∼24세
2023-12-04,30.43478,김건희,19∼24세
2023-12-11,38.15575,김건희,19∼24세
2023-12-18,31.45723,김건희,19∼24세
2023-12-25,100.0,김건희,19∼24세
2024-01-01,63.91782,김건희,19∼24세
2024-01-08,38.78643,김건희,19∼24세
2024-01-15,40.602,김건희,19∼24세
2024-01-22,60.344,김건희,19∼24세
2024-01-29,33.79837,김건희,19∼24세
2024-02-05,42.97181,김건희,19∼24세
2024-02-12,25.1505,김건희,19∼24세
2024-02-19,23.61204,김건희,19∼24세
2024-02-26,25.19827,김건희,19∼24세
2024-03-04,18.49976,김건희,19∼24세
2024-03-11,19.89488,김건희,19∼24세
2024-03-18,16.66507,김건희,19∼24세
2024-03-25,19.06354,김건희,19∼24세
2024-04-01,28.71476,김건희,19∼24세
2024-04-08,87.95031,김건희,19∼24세
2024-04-15,36.78929,김건희,19∼24세
2024-04-22,25.68561,김건희,19∼24세
2024-04-29,25.60917,김건희,19∼24세
2024-05-06,36.06306,김건희,19∼24세
2024-05-13,46.86096,김건희,19∼24세
2024-05-20,33.82704,김건희,19∼24세
2024-05-27,30.48256,김건희,19∼24세
2024-06-03,58.96798,김건희,19∼24세
2023-06-05,2.47491,김정숙,19∼24세
2023-06-12,1.93979,김정숙,19∼24세
2023-06-19,2.27424,김정숙,19∼24세
2023-06-26,2.09268,김정숙,19∼24세
2023-07-03,2.33158,김정숙,19∼24세
2023-07-10,3.04825,김정숙,19∼24세
2023-07-17,3.30625,김정숙,19∼24세
2023-07-24,1.67224,김정숙,19∼24세
2023-07-31,2.35069,김정숙,19∼24세
2023-08-07,2.29335,김정숙,19∼24세
2023-08-14,2.30291,김정숙,19∼24세
2023-08-21,2.12135,김정숙,19∼24세
2023-08-28,2.20735,김정숙,19∼24세
2023-09-04,1.84424,김정숙,19∼24세
2023-09-11,2.33158,김정숙,19∼24세
2023-09-18,3.01958,김정숙,19∼24세
2023-09-25,2.01624,김정숙,19∼24세
2023-10-02,1.74868,김정숙,19∼24세
2023-10-09,1.91113,김정숙,19∼24세
2023-10-16,2.18824,김정숙,19∼24세
2023-10-23,2.37935,김정숙,19∼24세
2023-10-30,1.91113,김정숙,19∼24세
2023-11-06,1.85379,김정숙,19∼24세
2023-11-13,2.68514,김정숙,19∼24세
2023-11-20,2.51313,김정숙,19∼24세
2023-11-27,3.57381,김정숙,19∼24세
2023-12-04,3.92737,김정숙,19∼24세
2023-12-11,3.34448,김정숙,19∼24세
2023-12-18,2.93358,김정숙,19∼24세
2023-12-25,5.35117,김정숙,19∼24세
2024-01-01,8.02675,김정숙,19∼24세
2024-01-08,4.17582,김정숙,19∼24세
2024-01-15,2.86669,김정숙,19∼24세
2024-01-22,3.43048,김정숙,19∼24세
2024-01-29,2.58002,김정숙,19∼24세
2024-02-05,2.99092,김정숙,19∼24세
2024-02-12,3.74581,김정숙,19∼24세
2024-02-19,2.64691,김정숙,19∼24세
2024-02-26,2.6278,김정숙,19∼24세
2024-03-04,2.2838,김정숙,19∼24세
2024-03-11,1.74868,김정숙,19∼24세
2024-03-18,1.82513,김정숙,19∼24세
2024-03-25,1.91113,김정숙,19∼24세
2024-04-01,3.47826,김정숙,19∼24세
2024-04-08,7.31008,김정숙,19∼24세
2024-04-15,2.53225,김정숙,19∼24세
2024-04-22,2.13091,김정숙,19∼24세
2024-04-29,1.71046,김정숙,19∼24세
2024-05-06,2.16913,김정숙,19∼24세
2024-05-13,2.64691,김정숙,19∼24세
2024-05-20,5.42761,김정숙,19∼24세
2024-05-27,7.97897,김정숙,19∼24세
2024-06-03,13.15814,김정숙,19∼24세
2023-06-05,0.52556,김혜경,19∼24세
2023-06-12,0.46822,김혜경,19∼24세
2023-06-19,0.79311,김혜경,19∼24세
2023-06-26,0.40133,김혜경,19∼24세
2023-07-03,0.53511,김혜경,19∼24세
2023-07-10,0.62111,김혜경,19∼24세
2023-07-17,0.57333,김혜경,19∼24세
