period,ratio,title,device
2023-06-05,25.55143,김건희,pc
2023-06-12,31.47461,김건희,pc
2023-06-19,53.65561,김건희,pc
2023-06-26,29.79936,김건희,pc
2023-07-03,77.26057,김건희,pc
2023-07-10,86.49036,김건희,pc
2023-07-17,90.92975,김건희,pc
2023-07-24,38.82573,김건희,pc
2023-07-31,26.81584,김건희,pc
2023-08-07,24.11152,김건희,pc
2023-08-14,42.53121,김건희,pc
2023-08-21,27.60958,김건희,pc
2023-08-28,38.88556,김건희,pc
2023-09-04,33.18974,김건희,pc
2023-09-11,41.41438,김건희,pc
2023-09-18,35.21997,김건희,pc
2023-09-25,20.09891,김건희,pc
2023-10-02,21.77416,김건희,pc
2023-10-09,27.31442,김건희,pc
2023-10-16,34.10314,김건희,pc
2023-10-23,49.81053,김건희,pc
2023-10-30,23.49726,김건희,pc
2023-11-06,26.00215,김건희,pc
2023-11-13,32.22847,김건희,pc
2023-11-20,62.62215,김건희,pc
2023-11-27,86.36272,김건희,pc
2023-12-04,45.4549,김건희,pc
2023-12-11,65.05524,김건희,pc
2023-12-18,39.34825,김건희,pc
2023-12-25,82.40197,김건희,pc
2024-01-01,47.68457,김건희,pc
2024-01-08,48.13529,김건희,pc
2024-01-15,49.47947,김건희,pc
2024-01-22,90.89386,김건희,pc
2024-01-29,36.29691,김건희,pc
2024-02-05,33.74416,김건희,pc
2024-02-12,25.09273,김건희,pc
2024-02-19,26.28933,김건희,pc
2024-02-26,26.73606,김건희,pc
2024-03-04,18.66698,김건희,pc
2024-03-11,16.84017,김건희,pc
2024-03-18,20.78098,김건희,pc
2024-03-25,22.36448,김건희,pc
2024-04-01,33.63647,김건희,pc
2024-04-08,100.0,김건희,pc
2024-04-15,48.9051,김건희,pc
2024-04-22,46.6196,김건희,pc
2024-04-29,25.59929,김건희,pc
2024-05-06,48.33871,김건희,pc
2024-05-13,78.31757,김건희,pc
2024-05-20,41.41837,김건희,pc
2024-05-27,27.30644,김건희,pc
2024-06-03,44.57341,김건희,pc
2023-06-05,1.74703,김정숙,pc
2023-06-12,2.07809,김정숙,pc
2023-06-19,2.16186,김정숙,pc
2023-06-26,2.05017,김정숙,pc
2023-07-03,3.00745,김정숙,pc
2023-07-10,3.03139,김정숙,pc
2023-07-17,3.22284,김정숙,pc
2023-07-24,1.71512,김정숙,pc
2023-07-31,2.12995,김정숙,pc
2023-08-07,1.78692,김정숙,pc
2023-08-14,2.05416,김정숙,pc
2023-08-21,1.89461,김정숙,pc
2023-08-28,1.69119,김정숙,pc
2023-09-04,1.95444,김정숙,pc
2023-09-11,2.09804,김정숙,pc
2023-09-18,3.17099,김정숙,pc
2023-09-25,1.2644,김정숙,pc
2023-10-02,1.22851,김정숙,pc
2023-10-09,1.24845,김정숙,pc
2023-10-16,1.64732,김정숙,pc
2023-10-23,2.56072,김정숙,pc
2023-10-30,1.28834,김정숙,pc
2023-11-06,1.55558,김정숙,pc
2023-11-13,2.0422,김정숙,pc
2023-11-20,2.52482,김정숙,pc
2023-11-27,2.56471,김정숙,pc
2023-12-04,2.20174,김정숙,pc
2023-12-11,2.44106,김정숙,pc
2023-12-18,2.15388,김정숙,pc
2023-12-25,5.14937,김정숙,pc
2024-01-01,7.58246,김정숙,pc
2024-01-08,5.43257,김정숙,pc
2024-01-15,2.83993,김정숙,pc
2024-01-22,4.69466,김정숙,pc
2024-01-29,2.09006,김정숙,pc
2024-02-05,1.97838,김정숙,pc
2024-02-12,4.74651,김정숙,pc
2024-02-19,1.77495,김정숙,pc
2024-02-26,1.71512,김정숙,pc
2024-03-04,1.90259,김정숙,pc
2024-03-11,1.75501,김정숙,pc
2024-03-18,1.60344,김정숙,pc
2024-03-25,1.6872,김정숙,pc
2024-04-01,3.07526,김정숙,pc
2024-04-08,3.76131,김정숙,pc
2024-04-15,3.23082,김정숙,pc
2024-04-22,1.73108,김정숙,pc
2024-04-29,1.26042,김정숙,pc
2024-05-06,2.9197,김정숙,pc
2024-05-13,4.224,김정숙,pc
2024-05-20,10.31071,김정숙,pc
2024-05-27,8.75513,김정숙,pc
2024-06-03,20.19863,김정숙,pc
2023-06-05,0.8097,김혜경,pc
2023-06-12,0.98919,김혜경,pc
2023-06-19,1.96242,김혜경,pc
2023-06-26,0.71796,김혜경,pc
2023-07-03,0.69402,김혜경,pc
2023-07-10,1.05699,김혜경,pc
2023-07-17,1.09289,김혜경,pc
2023-07-24,0.92936,김혜경,pc
2023-07-31,2.01427,김혜경,pc
2023-08-07,2.17382,김혜경,pc
2023-08-14,1.51968,김혜경,pc
2023-08-21,2.12995,김혜경,pc
2023-08-28,1.20059,김혜경,pc
2023-09-04,1.33221,김혜경,pc
2023-09-11,2.02624,김혜경,pc
2023-09-18,6.12261,김혜경,pc
2023-09-25,1.9345,김혜경,pc
2023-10-02,1.08093,김혜경,pc
2023-10-09,1.70316,김혜경,pc
2023-10-16,6.19839,김혜경,pc
2023-10-23,1.70715,김혜경,pc
2023-10-30,0.69004,김혜경,pc
2023-11-06,2.32938,김혜경,pc
2023-11-13,1.48777,김혜경,pc
2023-11-20,1.68321,김혜경,pc
2023-11-27,0.8097,김혜경,pc
2023-12-04,2.56072,김혜경,pc
2023-12-11,1.20059,김혜경,pc
2023-12-18,1.27238,김혜경,pc
2023-12-25,1.31227,김혜경,pc
2024-01-01,2.83195,김혜경,pc
2024-01-08,1.55558,김혜경,pc
2024-01-15,1.41996,김혜경,pc
2024-01-22,1.34817,김혜경,pc
2024-01-29,1.20457,김혜경,pc
2024-02-05,4.65079,김혜경,pc
2024-02-12,15.97463,김혜경,pc
2024-02-19,5.95109,김혜경,pc
2024-02-26,22.66363,김혜경,pc
2024-03-04,6.79669,김혜경,pc
2024-03-11,2.28949,김혜경,pc
2024-03-18,2.66044,김혜경,pc
2024-03-25,2.53679,김혜경,pc
2024-04-01,2.32938,김혜경,pc
2024-04-08,11.69478,김혜경,pc
2024-04-15,2.62454,김혜경,pc
2024-04-22,4.34366,김혜경,pc
2024-04-29,3.17498,김혜경,pc
2024-05-06,7.46679,김혜경,pc
2024-05-13,1.53962,김혜경,pc
2024-05-20,5.33285,김혜경,pc
2024-05-27,2.37724,김혜경,pc
2024-06-03,2.38921,김혜경,pc
2023-06-05,31.21101,김건희,mo
2023-06-12,26.60036,김건희,mo
2023-06-19,48.00081,김건희,mo
2023-06-26,26.46934,김건희,mo
2023-07-03,59.10305,김건희,mo
2023-07-10,100.0,김건희,mo
2023-07-17,79.76211,김건희,mo
2023-07-24,38.63125,김건희,mo
2023-07-31,29.65857,김건희,mo
2023-08-07,25.62506,김건희,mo
2023-08-14,52.01132,김건희,mo
2023-08-21,26.47254,김건희,mo
2023-08-28,27.76996,김건희,mo
2023-09-04,27.47149,김건희,mo
2023-09-11,34.4322,김건희,mo
2023-09-18,29.17156,김건희,mo
2023-09-25,26.58822,김건희,mo
2023-10-02,21.35123,김건희,mo
2023-10-09,26.49043,김건희,mo
2023-10-16,30.90615,김건희,mo
2023-10-23,35.73026,김건희,mo
2023-10-30,19.32649,김건희,mo
2023-11-06,21.57365,김건희,mo
2023-11-13,28.04415,김건희,mo
2023-11-20,44.11494,김건희,mo
2023-11-27,66.4517,김건희,mo
2023-12-04,35.28735,김건희,mo
2023-12-11,48.01104,김건희,mo
2023-12-18,35.0611,김건희,mo
2023-12-25,77.92399,김건희,mo
2024-01-01,48.99721,김건희,mo
2024-01-08,39.78423,김건희,mo
2024-01-15,43.45088,김건희,mo
2024-01-22,70.36762,김건희,mo
2024-01-29,32.88871,김건희,mo
2024-02-05,42.46791,김건희,mo
2024-02-12,24.85747,김건희,mo
2024-02-19,23.97931,김건희,mo
2024-02-26,26.14722,김건희,mo
2024-03-04,16.91443,김건희,mo
2024-03-11,15.4029,김건희,mo
2024-03-18,16.2312,김건희,mo
2024-03-25,18.24061,김건희,mo
2024-04-01,24.78141,김건희,mo
2024-04-08,75.85131,김건희,mo
2024-04-15,36.93245,김건희,mo
2024-04-22,28.98749,김건희,mo
2024-04-29,29.19585,김건희,mo
2024-05-06,42.96323,김건희,mo
2024-05-13,64.66918,김건희,mo
2024-05-20,35.54108,김건희,mo
2024-05-27,23.48527,김건희,mo
2024-06-03,45.28901,김건희,mo
2023-06-05,1.8183,김정숙,mo
2023-06-12,1.57288,김정숙,mo
2023-06-19,1.8394,김정숙,mo
2023-06-26,2.0241,김정숙,mo
2023-07-03,2.40822,김정숙,mo
2023-07-10,2.95147,김정숙,mo
2023-07-17,2.55649,김정숙,mo
2023-07-24,1.63743,김정숙,mo
2023-07-31,2.21712,김정숙,mo
2023-08-07,1.62657,김정숙,mo
2023-08-14,2.26186,김정숙,mo
2023-08-21,1.5454,김정숙,mo
2023-08-28,1.56265,김정숙,mo
2023-09-04,1.59269,김정숙,mo
2023-09-11,1.72627,김정숙,mo
2023-09-18,2.32449,김정숙,mo
2023-09-25,1.4246,김정숙,mo
2023-10-02,1.2105,김정숙,mo
2023-10-09,1.08715,김정숙,mo
2023-10-16,1.17535,김정숙,mo
2023-10-23,2.14809,김정숙,mo
2023-10-30,1.20283,김정숙,mo
2023-11-06,1.07884,김정숙,mo
2023-11-13,1.64958,김정숙,mo
2023-11-20,1.71221,김정숙,mo
2023-11-27,1.94613,김정숙,mo
2023-12-04,1.79338,김정숙,mo
2023-12-11,1.80616,김정숙,mo
2023-12-18,1.53709,김정숙,mo
2023-12-25,4.76978,김정숙,mo
2024-01-01,10.22982,김정숙,mo
2024-01-08,5.11938,김정숙,mo
2024-01-15,2.28487,김정숙,mo
2024-01-22,3.26145,김정숙,mo
2024-01-29,1.94485,김정숙,mo
2024-02-05,2.30851,김정숙,mo
2024-02-12,3.8635,김정숙,mo
2024-02-19,1.84067,김정숙,mo
2024-02-26,1.73074,김정숙,mo
