period,ratio,title,gender
2023-06-05,25.23171,김건희,m
2023-06-12,21.61468,김건희,m
2023-06-19,35.70316,김건희,m
2023-06-26,22.99239,김건희,m
2023-07-03,63.93795,김건희,m
2023-07-10,100.0,김건희,m
2023-07-17,77.1826,김건희,m
2023-07-24,34.89048,김건희,m
2023-07-31,25.96135,김건희,m
2023-08-07,22.19453,김건희,m
2023-08-14,39.67018,김건희,m
2023-08-21,22.16339,김건희,m
2023-08-28,24.99888,김건희,m
2023-09-04,21.01852,김건희,m
2023-09-11,33.406,김건희,m
2023-09-18,25.51348,김건희,m
2023-09-25,23.93409,김건희,m
2023-10-02,20.23105,김건희,m
2023-10-09,24.53174,김건희,m
2023-10-16,25.93169,김건희,m
2023-10-23,33.62993,김건희,m
2023-10-30,17.4786,김건희,m
2023-11-06,20.04715,김건희,m
2023-11-13,24.465,김건희,m
2023-11-20,35.71206,김건희,m
2023-11-27,81.22376,김건희,m
2023-12-04,36.97705,김건희,m
2023-12-11,49.85244,김건희,m
2023-12-18,36.4669,김건희,m
2023-12-25,88.44744,김건희,m
2024-01-01,47.97496,김건희,m
2024-01-08,43.27089,김건희,m
2024-01-15,46.26358,김건희,m
2024-01-22,80.28948,김건희,m
2024-01-29,32.78907,김건희,m
2024-02-05,43.23382,김건희,m
2024-02-12,24.48725,김건희,m
2024-02-19,24.46649,김건희,m
2024-02-26,27.38354,김건희,m
2024-03-04,17.04557,김건희,m
2024-03-11,15.13547,김건희,m
2024-03-18,16.1795,김건희,m
2024-03-25,18.91414,김건희,m
2024-04-01,27.9278,김건희,m
2024-04-08,82.57181,김건희,m
2024-04-15,39.13185,김건희,m
2024-04-22,31.50776,김건희,m
2024-04-29,29.21801,김건희,m
2024-05-06,45.1365,김건희,m
2024-05-13,64.1945,김건희,m
2024-05-20,33.91021,김건희,m
2024-05-27,23.1748,김건희,m
2024-06-03,47.4307,김건희,m
2023-06-05,1.88044,김정숙,m
2023-06-12,1.66244,김정숙,m
2023-06-19,1.93827,김정숙,m
2023-06-26,2.15479,김정숙,m
2023-07-03,2.73019,김정숙,m
2023-07-10,3.52063,김정숙,m
2023-07-17,3.05497,김정숙,m
2023-07-24,1.73065,김정숙,m
2023-07-31,2.2586,김정숙,m
2023-08-07,1.71731,김정숙,m
2023-08-14,2.2586,김정숙,m
2023-08-21,1.70248,김정숙,m
2023-08-28,1.80629,김정숙,m
2023-09-04,1.74845,김정숙,m
2023-09-11,1.94865,김정숙,m
2023-09-18,2.63973,김정숙,m
2023-09-25,1.56456,김정숙,m
2023-10-02,1.40588,김정숙,m
2023-10-09,1.19677,김정숙,m
2023-10-16,1.29169,김정숙,m
2023-10-23,2.64121,김정숙,m
2023-10-30,1.30355,김정숙,m
2023-11-06,1.2472,김정숙,m
2023-11-13,1.78404,김정숙,m
2023-11-20,2.01391,김정숙,m
2023-11-27,2.23932,김정숙,m
2023-12-04,1.98869,김정숙,m
2023-12-11,2.03615,김정숙,m
2023-12-18,1.83001,김정숙,m
2023-12-25,6.10253,김정숙,m
2024-01-01,12.2451,김정숙,m
2024-01-08,6.11291,김정숙,m
2024-01-15,2.74354,김정숙,m
2024-01-22,3.97591,김정숙,m
2024-01-29,2.24229,김정숙,m
2024-02-05,2.75244,김정숙,m
2024-02-12,5.18604,김정숙,m
2024-02-19,2.21708,김정숙,m
2024-02-26,1.95014,김정숙,m
2024-03-04,2.15924,김정숙,m
2024-03-11,1.51117,김정숙,m
2024-03-18,1.43109,김정숙,m
2024-03-25,1.49931,김정숙,m
2024-04-01,2.73019,김정숙,m
2024-04-08,3.51618,김정숙,m
2024-04-15,2.21856,김정숙,m
2024-04-22,1.60905,김정숙,m
2024-04-29,1.51117,김정숙,m
2024-05-06,2.43656,김정숙,m
2024-05-13,4.62991,김정숙,m
2024-05-20,11.00828,김정숙,m
2024-05-27,11.84173,김정숙,m
2024-06-03,24.8669,김정숙,m
2023-06-05,0.76374,김혜경,m
2023-06-12,0.98767,김혜경,m
2023-06-19,1.90268,김혜경,m
2023-06-26,0.74001,김혜경,m
2023-07-03,0.64213,김혜경,m
2023-07-10,0.90314,김혜경,m
2023-07-17,1.11373,김혜경,m
2023-07-24,0.97136,김혜경,m
2023-07-31,2.45436,김혜경,m
2023-08-07,3.22848,김혜경,m
2023-08-14,1.94569,김혜경,m
2023-08-21,2.95413,김혜경,m
2023-08-28,1.40884,김혜경,m
2023-09-04,1.33618,김혜경,m
2023-09-11,1.84781,김혜경,m
2023-09-18,6.98936,김혜경,m
2023-09-25,2.71685,김혜경,m
2023-10-02,1.29169,김혜경,m
2023-10-09,1.93679,김혜경,m
2023-10-16,6.64531,김혜경,m
2023-10-23,1.83446,김혜경,m
2023-10-30,0.77412,김혜경,m
2023-11-06,2.23042,김혜경,m
2023-11-13,1.38956,김혜경,m
2023-11-20,1.59273,김혜경,m
2023-11-27,0.84679,김혜경,m
2023-12-04,3.04755,김혜경,m
2023-12-11,1.10186,김혜경,m
2023-12-18,1.59718,김혜경,m
2023-12-25,1.38067,김혜경,m
2024-01-01,2.99417,김혜경,m
2024-01-08,2.08064,김혜경,m
2024-01-15,1.32431,김혜경,m
2024-01-22,1.28724,김혜경,m
2024-01-29,1.32431,김혜경,m
2024-02-05,6.41841,김혜경,m
2024-02-12,17.57203,김혜경,m
2024-02-19,7.23702,김혜경,m
2024-02-26,28.5996,김혜경,m
2024-03-04,10.94007,김혜경,m
2024-03-11,3.3056,김혜경,m
2024-03-18,2.96451,김혜경,m
2024-03-25,3.08463,김혜경,m
2024-04-01,2.83104,김혜경,m
2024-04-08,9.66766,김혜경,m
2024-04-15,2.57744,김혜경,m
2024-04-22,3.61554,김혜경,m
2024-04-29,4.17463,김혜경,m
2024-05-06,6.58895,김혜경,m
2024-05-13,1.72769,김혜경,m
2024-05-20,5.05108,김혜경,m
2024-05-27,2.62787,김혜경,m
2024-06-03,2.40542,김혜경,m
2023-06-05,35.6535,김건희,f
2023-06-12,32.50713,김건희,f
2023-06-19,59.76634,김건희,f
2023-06-26,30.26485,김건희,f
2023-07-03,60.98373,김건희,f
2023-07-10,100.0,김건희,f
2023-07-17,87.33089,김건희,f
2023-07-24,40.98771,김건희,f
2023-07-31,31.56986,김건희,f
2023-08-07,28.51642,김건희,f
2023-08-14,59.5141,김건희,f
2023-08-21,30.5755,김건희,f
2023-08-28,33.27713,김건희,f
2023-09-04,33.10587,김건희,f
2023-09-11,36.13143,김건희,f
2023-09-18,32.49917,김건희,f
2023-09-25,26.86093,김건희,f
2023-10-02,22.35911,김건희,f
2023-10-09,27.6827,김건희,f
2023-10-16,36.18453,김건희,f
2023-10-23,42.45867,김건희,f
2023-10-30,22.02987,김건희,f
2023-11-06,24.11815,김건희,f
2023-11-13,31.11981,김건희,f
2023-11-20,55.60703,김건희,f
2023-11-27,63.13308,김건희,f
2023-12-04,37.02223,김건희,f
2023-12-11,50.40159,김건희,f
2023-12-18,33.1842,김건희,f
2023-12-25,73.33687,김건희,f
2024-01-01,50.65648,김건희,f
2024-01-08,39.07202,김건희,f
2024-01-15,42.55692,김건희,f
2024-01-22,65.76037,김건희,f
2024-01-29,33.11782,김건희,f
2024-02-05,40.41686,김건희,f
2024-02-12,25.03816,김건희,f
2024-02-19,24.20577,김건희,f
2024-02-26,25.45635,김건희,f
2024-03-04,17.05409,김건희,f
2024-03-11,15.80617,김건희,f
2024-03-18,16.90009,김건희,f
2024-03-25,18.65117,김건희,f
2024-04-01,25.2612,김건희,f
2024-04-08,82.88748,김건희,f
2024-04-15,38.56621,김건희,f
2024-04-22,31.11184,김건희,f
2024-04-29,28.19913,김건희,f
2024-05-06,41.64221,김건희,f
2024-05-13,71.16362,김건희,f
2024-05-20,39.86856,김건희,f
2024-05-27,25.20146,김건희,f
2024-06-03,45.97278,김건희,f
2023-06-05,1.75506,김정숙,f
2023-06-12,1.55857,김정숙,f
2023-06-19,1.71257,김정숙,f
2023-06-26,1.67009,김정숙,f
2023-07-03,1.8918,김정숙,f
2023-07-10,2.27281,김정숙,f
2023-07-17,2.17723,김정숙,f
2023-07-24,1.31828,김정숙,f
2023-07-31,1.87454,김정숙,f
2023-08-07,1.42316,김정숙,f
2023-08-14,2.07102,김정숙,f
2023-08-21,1.30633,김정숙,f
2023-08-28,1.25987,김정숙,f
2023-09-04,1.35545,김정숙,f
2023-09-11,1.36076,김정숙,f
2023-09-18,1.84002,김정숙,f
2023-09-25,1.25854,김정숙,f
